machine_id,avg_temperature,avg_vibration,avg_energy_consumption,actual_maintenance_rate,predicted_maintenance_rate,avg_maintenance_probability,maintenance_risk
29,75.02780821917808,49.53158023483366,2.7525146771037186,20.89041095890411,18.737769080234834,0.20857632093933462,Low Risk
30,75.02565573770491,49.44582449373192,2.7684329797492766,20.877531340405014,18.75602700096432,0.20495178399228545,Low Risk
31,74.8365338851526,49.9740662183135,2.7132436627004655,19.037765131919297,16.761510605276772,0.19053026383859287,Low Risk
32,74.89239290989661,49.75824224519941,2.745558838010832,20.974889217134415,18.46381093057607,0.20552683407188577,Low Risk
33,74.98670756646217,49.755429447852755,2.779074642126789,20.347648261758692,18.353783231083845,0.2045219836400818,Low Risk
34,75.02154517453799,50.123911704312114,2.754235112936345,19.04517453798768,16.68377823408624,0.19156314168377825,Low Risk
35,75.29525875588081,49.98917929952954,2.7097334030318874,19.86408782017773,17.982226868792473,0.20183742812336644,Low Risk
36,75.246896882494,49.8850551558753,2.774642685851319,19.904076738609113,17.41007194244604,0.1976115107913669,Low Risk
37,75.20539205702649,50.0532433808554,2.762387983706721,18.533604887983707,16.4969450101833,0.1873548879837067,Low Risk
38,75.42606413994169,49.93217201166181,2.7410981535471333,19.33916423712342,17.395529640427597,0.20119533527696792,Low Risk
39,74.45751630707475,49.91154540893126,2.729734069242348,19.36778725539388,16.608128449573506,0.18952333166081287,Low Risk
40,74.96840579710145,49.75817591204398,2.7051874062968517,18.74062968515742,16.79160419790105,0.19209145427286356,Low Risk
41,74.86283159463487,50.32614505712866,2.720854446100348,17.2876304023845,15.846994535519126,0.18620963735717835,Low Risk
42,74.89334323922735,49.636111936602276,2.722313026250619,20.65378900445765,17.929668152550768,0.20091877166914315,Low Risk
43,75.15653725078698,50.01179958027283,2.807224554039874,21.511017838405035,19.30745015739769,0.21467471143756559,Low Risk
44,75.19535053554041,49.93509737098345,2.73784323271665,20.30185004868549,17.77020447906524,0.1979844206426485,Low Risk
45,74.93134615384616,50.16136057692308,2.7623028846153845,20.384615384615383,17.78846153846154,0.20187740384615385,Low Risk
46,75.35562238493725,50.28030334728034,2.7279131799163183,19.822175732217573,17.99163179916318,0.2015742677824268,Low Risk
47,75.19138930534733,49.8388055972014,2.6991854072963517,19.99000499750125,17.291354322838583,0.19403798100949524,Low Risk
48,74.80884353741497,49.74244412050535,2.7056073858114678,19.5821185617104,17.05539358600583,0.193377065111759,Low Risk
49,75.01069743589743,49.814446153846156,2.7634820512820513,19.538461538461537,17.53846153846154,0.19689487179487178,Low Risk
50,75.2046809623431,50.295078451882844,2.709696652719665,21.443514644351463,19.194560669456067,0.2096652719665272,Low Risk
